"cutpoint_method","KL","KL_rev","J","L1","chi2","chi2_rev"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","1","1","1","1","0","1"
"GEVD","0","1","1","0","1","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","1","1","1","1","1","1"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","1","0"
"GEVD","0","0","0","0","0","1"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","1","1","1","1","1","1"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","1","1","1","1","1","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"GEVD","0","0","0","0","0","0"
"McCullogh","0","0","0","0","0","0"
"McCullogh","0","0","0","0","0","0"
"McCullogh","0","0","0","0","0","0"
